time,conc,location,lat,long
2021-08-08 18:00:00,64.52266666666668,PurpleAir-0,31.501559,74.306762
2021-08-08 19:00:00,67.70933333333333,PurpleAir-0,31.501559,74.306762
2021-08-08 20:00:00,107.83566666666668,PurpleAir-0,31.501559,74.306762
2021-08-08 21:00:00,104.52583333333332,PurpleAir-0,31.501559,74.306762
2021-08-08 22:00:00,60.45316666666666,PurpleAir-0,31.501559,74.306762
2021-08-08 23:00:00,58.49733333333333,PurpleAir-0,31.501559,74.306762
2021-08-09 00:00:00,60.51583333333333,PurpleAir-0,31.501559,74.306762
2021-08-09 01:00:00,69.0695,PurpleAir-0,31.501559,74.306762
2021-08-09 02:00:00,71.60283333333334,PurpleAir-0,31.501559,74.306762
2021-08-09 03:00:00,72.99266666666666,PurpleAir-0,31.501559,74.306762
2021-08-09 04:00:00,78.97983333333335,PurpleAir-0,31.501559,74.306762
2021-08-09 05:00:00,86.96866666666668,PurpleAir-0,31.501559,74.306762
2021-08-09 06:00:00,88.85216666666668,PurpleAir-0,31.501559,74.306762
2021-08-09 07:00:00,56.04016666666666,PurpleAir-0,31.501559,74.306762
2021-08-09 08:00:00,31.183875661375662,PurpleAir-0,31.501559,74.306762
2021-08-09 09:00:00,34.811833333333325,PurpleAir-0,31.501559,74.306762
2021-08-09 10:00:00,37.81689655172414,PurpleAir-0,31.501559,74.306762
2021-08-09 11:00:00,43.46785024154589,PurpleAir-0,31.501559,74.306762
2021-08-09 12:00:00,53.23005698005697,PurpleAir-0,31.501559,74.306762
2021-08-09 13:00:00,56.41366666666667,PurpleAir-0,31.501559,74.306762
2021-08-09 14:00:00,59.88225,PurpleAir-0,31.501559,74.306762
2021-08-09 15:00:00,66.4628275862069,PurpleAir-0,31.501559,74.306762
2021-08-09 16:00:00,51.79366666666667,PurpleAir-0,31.501559,74.306762
2021-08-09 17:00:00,46.564,PurpleAir-0,31.501559,74.306762
2021-08-09 18:00:00,47.158166666666666,PurpleAir-0,31.501559,74.306762
2021-08-09 19:00:00,50.9865,PurpleAir-0,31.501559,74.306762
2021-08-09 20:00:00,56.31583333333333,PurpleAir-0,31.501559,74.306762
2021-08-09 21:00:00,70.05533333333334,PurpleAir-0,31.501559,74.306762
2021-08-09 22:00:00,74.56916666666666,PurpleAir-0,31.501559,74.306762
2021-08-09 23:00:00,86.18449999999999,PurpleAir-0,31.501559,74.306762
2021-08-10 00:00:00,104.25433333333334,PurpleAir-0,31.501559,74.306762
2021-08-10 01:00:00,93.95895977011494,PurpleAir-0,31.501559,74.306762
2021-08-10 02:00:00,98.1853448275862,PurpleAir-0,31.501559,74.306762
2021-08-10 03:00:00,71.56216666666667,PurpleAir-0,31.501559,74.306762
2021-08-10 04:00:00,56.5615,PurpleAir-0,31.501559,74.306762
2021-08-10 05:00:00,53.84883333333333,PurpleAir-0,31.501559,74.306762
2021-08-10 06:00:00,58.66383333333333,PurpleAir-0,31.501559,74.306762
2021-08-10 07:00:00,53.98433333333333,PurpleAir-0,31.501559,74.306762
2021-08-10 08:00:00,49.446666666666665,PurpleAir-0,31.501559,74.306762
2021-08-10 09:00:00,50.2895,PurpleAir-0,31.501559,74.306762
2021-08-10 10:00:00,54.64866666666666,PurpleAir-0,31.501559,74.306762
2021-08-10 11:00:00,48.19176470588235,PurpleAir-0,31.501559,74.306762
2021-08-10 12:00:00,41.49798275862069,PurpleAir-0,31.501559,74.306762
2021-08-10 13:00:00,41.10316666666667,PurpleAir-0,31.501559,74.306762
2021-08-10 14:00:00,47.71787878787879,PurpleAir-0,31.501559,74.306762
2021-08-10 15:00:00,49.274283625731,PurpleAir-0,31.501559,74.306762
2021-08-10 16:00:00,45.80675213675214,PurpleAir-0,31.501559,74.306762
2021-08-10 17:00:00,41.22896551724138,PurpleAir-0,31.501559,74.306762
2021-08-10 18:00:00,38.53816666666667,PurpleAir-0,31.501559,74.306762
2021-08-10 19:00:00,43.41216666666666,PurpleAir-0,31.501559,74.306762
2021-08-10 20:00:00,49.203,PurpleAir-0,31.501559,74.306762
