id,left,top,right,bottom,OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,Houses,road_length,road_count,NTLsum,Populationsum,lat,long,AQI,name
"46",8253404.74589469,3680757.53433227,8258404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,20426,252322.525677097,860,1755,79671.9959535599,,,,
"47",8253404.74589469,3675757.53433227,8258404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2661,58660.4471552162,116,1174,86867.7829713821,,,,
"60",8258404.74589469,3670757.53433227,8263404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,2751,83015.0107206342,233,801,54759.4261264801,,,,
"62",8263404.74589469,3720757.53433227,8268404.74589469,3715757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,5113.62032536451,34,41.369607753221,4529.25428771973,,,,
"63",8263404.74589469,3715757.53433227,8268404.74589469,3710757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,115684.891646742,574,713,100013.588804245,,,,
"64",8263404.74589469,3710757.53433227,8268404.74589469,3705757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,1079,68875.0004969962,213,935,75625.040230751,,,,
"56",8258404.74589469,3690757.53433227,8263404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,25639,327760.882576286,1220,1485,221406.620014191,,,,
"57",8258404.74589469,3685757.53433227,8263404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,16346,221400.044422524,813,1225,188980.286903381,,,,
"58",8258404.74589469,3680757.53433227,8263404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,12407,190560.223514114,661,1502,104880.117996216,,,,
"59",8258404.74589469,3675757.53433227,8263404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,18172,206864.003437358,769,1170,118392.297300339,,,,
"21",8243404.74589469,3685757.53433227,8248404.74589469,3680757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,178.357476472404,1,130,9147.45044159889,,,,
"22",8243404.74589469,3680757.53433227,8248404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,11169.2117928841,4,524,26935.2835664749,,,,
"23",8243404.74589469,3675757.53433227,8248404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,42956.0669669655,75,746,93313.2268528938,,,,
"24",8243404.74589469,3670757.53433227,8248404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,23403.5691337385,24,395,15839.5002841949,,,,
"10",8238404.74589469,3680757.53433227,8243404.74589469,3675757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,4865.0199725384,1,241,13328.9706809521,,,,
"11",8238404.74589469,3675757.53433227,8243404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,5254.95909378159,5,158,12774.5792570114,,,,
"20",8243404.74589469,3690757.53433227,8248404.74589469,3685757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,3770.32128222576,2,98,5946.49878406525,,,,
"35",8248404.74589469,3675757.53433227,8253404.74589469,3670757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,24931.4577737632,15,737,44975.4728183746,,,,
"36",8248404.74589469,3670757.53433227,8253404.74589469,3665757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,20402.6180161894,17,372,14953.2834262848,,,,
"42",8253404.74589469,3700757.53433227,8258404.74589469,3695757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,933.00082700301,1,19.0725007900493,1059.22801685333,,,,
"43",8253404.74589469,3695757.53433227,8258404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,5490,12437.2307186714,7,400,13298.4404177666,,,,
"31",8248404.74589469,3695757.53433227,8253404.74589469,3690757.53433227,"104",PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,0,6560.24844777933,28,36,2864.9824090004,,,,
